ticket_type,ticket_type_name,ticket_type_desc,inet_ticket_type_name,inet_ticket_type_desc,active,protected,host_ticket_type,host_qual_id,host_qual_name,ticket_type_category,class_id,sort_seq,upd_user,upd_datetime,comp_ind,comp_code,default_host_offer_id,default_host_seat_mask,orig_lbd_ticket_type,fantm_message_code,ms_seq_id
_8Z,,,,,N,N,J-TYPE,120,_89IZ ,,,1249,tm46,7/2/2007 14:37:43:417,N,,0,_8Z,,,333
_9,,,,,N,N,K-TYPE,111,_89_Q7,,,1260,tm46,7/2/2007 14:37:43:417,N,,0,_9,,,334
_90,,,,,N,N,L-TYPE,121,_89J0 ,,,1287,tm46,7/2/2007 14:37:43:433,N,,0,_90,,,335
_91,,,,,N,N,L-TYPE,122,_89K1 ,,,1288,tm46,7/2/2007 14:37:43:433,N,,0,_91,,,336
_92,,,,,N,N,L-TYPE,123,_89L2 ,,,1289,tm46,7/2/2007 14:37:43:433,N,,0,_92,,,337
_93,,,,,N,N,L-TYPE,124,_89M3 ,,,1290,tm46,7/2/2007 14:37:43:433,N,,0,_93,,,338
_94,,,,,N,N,L-TYPE,125,_89N4 ,,,1291,tm46,7/2/2007 14:37:43:433,N,,0,_94,,,339
_95,,,,,N,N,L-TYPE,126,_89O5 ,,,1292,tm46,7/2/2007 14:37:43:433,N,,0,_95,,,340
_96,,,,,N,N,L-TYPE,127,_89P6 ,,,1293,tm46,7/2/2007 14:37:43:433,N,,0,_96,,,341
_97,,,,,N,N,M-TYPE,111,_89_Q7,,,1294,tm46,7/2/2007 14:37:43:433,N,,0,_97,,,342
_98,,,,,N,N,M-TYPE,112,_89AR8,,,1295,tm46,7/2/2007 14:37:43:433,N,,0,_98,,,343
_99,,,,,N,N,M-TYPE,113,_89BS9,,,1296,tm46,7/2/2007 14:37:43:433,N,,0,_99,,,344
_9A,,,,,N,N,K-TYPE,112,_89AR8,,,1261,tm46,7/2/2007 14:37:43:417,N,,0,_9A,,,345
_9B,,,,,N,N,K-TYPE,113,_89BS9,,,1262,tm46,7/2/2007 14:37:43:417,N,,0,_9B,,,346
_9C,,,,,N,N,K-TYPE,114,_89CT ,,,1263,tm46,7/2/2007 14:37:43:417,N,,0,_9C,,,347
_9D,,,,,N,N,K-TYPE,115,_89DU ,,,1264,tm46,7/2/2007 14:37:43:417,N,,0,_9D,,,348
_9E,,,,,N,N,K-TYPE,116,_89EV ,,,1265,tm46,7/2/2007 14:37:43:417,N,,0,_9E,,,349
_9F,,,,,N,N,K-TYPE,117,_89FW ,,,1266,tm46,7/2/2007 14:37:43:417,N,,0,_9F,,,350
_9G,,,,,N,N,K-TYPE,118,_89GX ,,,1267,tm46,7/2/2007 14:37:43:417,N,,0,_9G,,,351
_9H,,,,,N,N,K-TYPE,119,_89HY ,,,1268,tm46,7/2/2007 14:37:43:417,N,,0,_9H,,,352
_9I,,,,,N,N,K-TYPE,120,_89IZ ,,,1269,tm46,7/2/2007 14:37:43:417,N,,0,_9I,,,353
_9J,,,,,N,N,K-TYPE,121,_89J0 ,,,1270,tm46,7/2/2007 14:37:43:417,N,,0,_9J,,,354
_9K,,,,,N,N,K-TYPE,122,_89K1 ,,,1271,tm46,7/2/2007 14:37:43:417,N,,0,_9K,,,355
_9L,,,,,N,N,K-TYPE,123,_89L2 ,,,1272,tm46,7/2/2007 14:37:43:417,N,,0,_9L,,,356
_9M,,,,,N,N,K-TYPE,124,_89M3 ,,,1273,tm46,7/2/2007 14:37:43:417,N,,0,_9M,,,357
_9N,,,,,N,N,K-TYPE,125,_89N4 ,,,1274,tm46,7/2/2007 14:37:43:417,N,,0,_9N,,,358
_9O,,,,,N,N,K-TYPE,126,_89O5 ,,,1275,tm46,7/2/2007 14:37:43:417,N,,0,_9O,,,359
