plan_group_id,plan_group_name,plan_event_id,plan_event_name,plan_total_events,plan_type,event_id,event_name,event_date,event_time,team,game_number,total_events,tm_event_name,nesting_level,child_is_plan,season_id,host_integration_enabled
59,D25CHA <-> Events,1052,D25CHA,3,S,957,D250607A,6/7/2025,13:00:00,02. Charlotte,,1,D250607A,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,958,D250607E,6/7/2025,19:00:00,02. Charlotte,,1,D250607E,1,N,182,N
59,D25CHA <-> Events,1052,D25CHA,3,S,958,D250607E,6/7/2025,19:00:00,02. Charlotte,,1,D250607E,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,959,D250613,6/13/2025,18:00:00,03. Philadelphia,,1,D250613,1,N,182,N
56,D25PHI <-> Events,1053,D25PHI,3,S,959,D250613,6/13/2025,18:00:00,03. Philadelphia,,1,D250613,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,960,D250614A,6/14/2025,13:00:00,03. Philadelphia,,1,D250614A,1,N,182,N
56,D25PHI <-> Events,1053,D25PHI,3,S,960,D250614A,6/14/2025,13:00:00,03. Philadelphia,,1,D250614A,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,961,D250614E,6/14/2025,19:00:00,03. Philadelphia,,1,D250614E,1,N,182,N
56,D25PHI <-> Events,1053,D25PHI,3,S,961,D250614E,6/14/2025,19:00:00,03. Philadelphia,,1,D250614E,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,962,D250627,6/27/2025,18:00:00,05. San Diego,,1,D250627,1,N,182,N
53,D25SD <-> Events,1055,D25SD,2,S,962,D250627,6/27/2025,18:00:00,05. San Diego,,1,D250627,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,963,D250628,6/28/2025,15:00:00,05. San Diego,,1,D250628,1,N,182,N
53,D25SD <-> Events,1055,D25SD,2,S,963,D250628,6/28/2025,15:00:00,05. San Diego,,1,D250628,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,964,D250725,7/25/2025,18:00:00,09. Salt Lake,,1,D250725,1,N,182,N
52,D25SLC <-> Events,1058,D25SLC,2,S,964,D250725,7/25/2025,18:00:00,09. Salt Lake,,1,D250725,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,965,D250726,7/26/2025,16:30:00,09. Salt Lake,,1,D250726,1,N,182,N
52,D25SLC <-> Events,1058,D25SLC,2,S,965,D250726,7/26/2025,16:30:00,09. Salt Lake,,1,D250726,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,966,D250808,8/8/2025,18:30:00,11. Boston,,1,D250808,1,N,182,N
51,D25BOS <-> Events,1060,D25BOS,3,S,966,D250808,8/8/2025,18:30:00,11. Boston,,1,D250808,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,967,D250809A,8/9/2025,13:00:00,11. Boston,,1,D250809A,1,N,182,N
51,D25BOS <-> Events,1060,D25BOS,3,S,967,D250809A,8/9/2025,13:00:00,11. Boston,,1,D250809A,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,968,D250809E,8/9/2025,19:00:00,11. Boston,,1,D250809E,1,N,182,N
51,D25BOS <-> Events,1060,D25BOS,3,S,968,D250809E,8/9/2025,19:00:00,11. Boston,,1,D250809E,1,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,969,D250823,8/23/2025,17:00:00,12. Minneapolis,,1,D250823,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,969,D250823,8/23/2025,17:00:00,12. Minneapolis,,1,D250823,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1025,D250711,7/11/2025,18:00:00,07. Chicago,,1,D250711,1,N,182,N
54,D25CHI <-> Events,1056,D25CHI,2,S,1025,D250711,7/11/2025,18:00:00,07. Chicago,,1,D250711,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1026,D250712,7/12/2025,18:00:00,07. Chicago,,1,D250712,1,N,182,N
54,D25CHI <-> Events,1056,D25CHI,2,S,1026,D250712,7/12/2025,18:00:00,07. Chicago,,1,D250712,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1027,D250621,6/21/2025,16:00:00,04. Baltimore,,1,D250621,1,N,182,N
55,D25BAL <-> Events,1054,D25BAL,2,S,1027,D250621,6/21/2025,16:00:00,04. Baltimore,,1,D250621,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1028,D250622,6/22/2025,12:00:00,04. Baltimore,,1,D250622,1,N,182,N
55,D25BAL <-> Events,1054,D25BAL,2,S,1028,D250622,6/22/2025,12:00:00,04. Baltimore,,1,D250622,1,N,182,N
48,D25ASG <-> Events,1049,D25ASG,2,S,1029,D250704,7/4/2025,17:30:00,06. Kansas City,,1,D250704,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1029,D250704,7/4/2025,17:30:00,06. Kansas City,,1,D250704,1,N,182,N
48,D25ASG <-> Events,1049,D25ASG,2,S,1030,D250705,7/5/2025,12:00:00,06. Kansas City,,1,D250705,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1030,D250705,7/5/2025,12:00:00,06. Kansas City,,1,D250705,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1031,D250718,7/18/2025,18:30:00,08. Fairfield,,1,D250718,1,N,182,N
57,D25FAI <-> Events,1057,D25FAI,3,S,1031,D250718,7/18/2025,18:30:00,08. Fairfield,,1,D250718,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1032,D250719A,7/19/2025,15:00:00,08. Fairfield,,1,D250719A,1,N,182,N
57,D25FAI <-> Events,1057,D25FAI,3,S,1032,D250719A,7/19/2025,15:00:00,08. Fairfield,,1,D250719A,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1033,D250719E,7/19/2025,20:00:00,08. Fairfield,,1,D250719E,1,N,182,N
57,D25FAI <-> Events,1057,D25FAI,3,S,1033,D250719E,7/19/2025,20:00:00,08. Fairfield,,1,D250719E,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1034,D250801,8/1/2025,18:00:00,10. Denver,,1,D250801,1,N,182,N
58,D25DEN <-> Events,1059,D25DEN,3,S,1034,D250801,8/1/2025,18:00:00,10. Denver,,1,D250801,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1035,D250802A,8/2/2025,11:00:00,10. Denver,,1,D250802A,1,N,182,N
58,D25DEN <-> Events,1059,D25DEN,3,S,1035,D250802A,8/2/2025,11:00:00,10. Denver,,1,D250802A,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1036,D250802E,8/2/2025,18:00:00,10. Denver,,1,D250802E,1,N,182,N
58,D25DEN <-> Events,1059,D25DEN,3,S,1036,D250802E,8/2/2025,18:00:00,10. Denver,,1,D250802E,1,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1037,D250901,9/1/2025,16:00:00,13. Subaru Park,,1,D250901,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1037,D250901,9/1/2025,16:00:00,13. Subaru Park,,1,D250901,1,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1038,D250914,9/14/2025,12:30:00,14. Championship,,1,D250914,1,N,182,N
47,D25ALL <-> Events,1048,D25ALL,31,S,1038,D250914,9/14/2025,12:30:00,14. Championship,,1,D250914,1,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1049,D25ASG,7/4/2025,23:59:00,06. Kansas City,,2,D25ASG,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1051,D25ALB,5/30/2025,23:59:00,01. Albany,,3,D25ALB,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1052,D25CHA,6/6/2025,23:59:00,02. Charlotte,,3,D25CHA,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1053,D25PHI,6/13/2025,23:59:00,03. Philadelphia,,3,D25PHI,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1054,D25BAL,6/21/2025,23:59:00,04. Baltimore,,2,D25BAL,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1055,D25SD,6/27/2025,23:59:00,05. San Diego,,2,D25SD,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1056,D25CHI,7/11/2025,23:59:00,07. Chicago,,2,D25CHI,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1057,D25FAI,7/11/2025,23:59:00,08. Fairfield,,3,D25FAI,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1058,D25SLC,7/25/2025,23:59:00,09. Salt Lake,,2,D25SLC,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1059,D25DEN,8/1/2025,23:59:00,10. Denver,,3,D25DEN,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1060,D25BOS,8/1/2025,23:59:00,11. Boston,,3,D25BOS,1,S,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1036,D250802E,8/2/2025,18:00:00,10. Denver,,1,D250802E,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1035,D250802A,8/2/2025,11:00:00,10. Denver,,1,D250802A,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1034,D250801,8/1/2025,18:00:00,10. Denver,,1,D250801,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1033,D250719E,7/19/2025,20:00:00,08. Fairfield,,1,D250719E,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1032,D250719A,7/19/2025,15:00:00,08. Fairfield,,1,D250719A,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1031,D250718,7/18/2025,18:30:00,08. Fairfield,,1,D250718,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1030,D250705,7/5/2025,12:00:00,06. Kansas City,,1,D250705,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1029,D250704,7/4/2025,17:30:00,06. Kansas City,,1,D250704,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1028,D250622,6/22/2025,12:00:00,04. Baltimore,,1,D250622,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1027,D250621,6/21/2025,16:00:00,04. Baltimore,,1,D250621,2,N,182,N
