year,market,date_of_goal,revenue,ticket_category,plan_name,ticket_type,hcp_renewal_flag,year_market_target_atp
2025,Champ Series,1/22/25,3002.7142857142858,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/22/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/22/25,416.14285714285717,premium_add_on,single_day,single_day,0,31.95
2025,Champ Series,1/22/25,1484.2857142857142,group,single_day,single_day,0,31.95
2025,Champ Series,1/23/25,2857.1428571428573,suite,single_day,single_day,0,31.95
2025,Champ Series,1/23/25,689.71428571428567,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/23/25,3002.7142857142858,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/23/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/23/25,416.14285714285717,premium_add_on,single_day,single_day,0,31.95
2025,Champ Series,1/23/25,1484.2857142857142,group,single_day,single_day,0,31.95
2025,Champ Series,1/24/25,2857.1428571428573,suite,single_day,single_day,0,31.95
2025,Champ Series,1/24/25,689.71428571428567,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/24/25,3002.7142857142858,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/24/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/24/25,416.14285714285717,premium_add_on,single_day,single_day,0,31.95
2025,Champ Series,1/24/25,1484.2857142857142,group,single_day,single_day,0,31.95
2025,Champ Series,1/25/25,2857.1428571428573,suite,single_day,single_day,0,31.95
2025,Champ Series,1/25/25,689.71428571428567,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/25/25,3002.7142857142858,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/25/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/25/25,416.14285714285717,premium_add_on,single_day,single_day,0,31.95
2025,Champ Series,1/25/25,1484.2857142857142,group,single_day,single_day,0,31.95
2025,Champ Series,1/26/25,2857.1428571428573,suite,single_day,single_day,0,31.95
2025,Champ Series,1/26/25,689.71428571428567,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/26/25,3002.7142857142858,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/26/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/26/25,416.14285714285717,premium_add_on,single_day,single_day,0,31.95
2025,Champ Series,1/26/25,1484.2857142857142,group,single_day,single_day,0,31.95
2025,Champ Series,1/27/25,2857.1428571428573,suite,single_day,single_day,0,31.95
2025,Champ Series,1/27/25,689.71428571428567,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/27/25,3002.7142857142858,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/27/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/27/25,416.14285714285717,premium_add_on,single_day,single_day,0,31.95
2025,Champ Series,1/27/25,1484.2857142857142,group,single_day,single_day,0,31.95
2025,Philly/Nova,1/28/25,0,suite,single_day,single_day,0,42.99
2025,Philly/Nova,1/28/25,0,group,homecoming_pass,homecoming_pass,1,42.99
2025,Salt Lake City,1/28/25,0,group,single_day,single_day,0,54.92
2025,Kansas City,1/28/25,0,group,homecoming_pass,homecoming_pass,0,39.42
2025,Salt Lake City,1/28/25,0,group,homecoming_pass,homecoming_pass,0,54.92
2025,San Diego,1/28/25,0,group,homecoming_pass,homecoming_pass,1,50.33
2025,Kansas City,1/28/25,0,group,homecoming_pass,homecoming_pass,1,39.42
2025,Philly/Nova,1/28/25,0,non_internal,single_day,single_day,0,42.99
2025,Salt Lake City,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,54.92
2025,Albany,1/28/25,0,non_internal,single_day,single_day,0,34.76
2025,Fairfield,1/28/25,0,group,homecoming_pass,homecoming_pass,0,52.81
2025,Minnesota,1/28/25,0,suite,single_day,single_day,0,41.81
2025,Champ Series,1/28/25,2142.8571428571427,suite,single_day,single_day,0,31.95
2025,Champ Series,1/28/25,672.85714285714289,non_internal,all_access,all_access,0,31.95
2025,Boston/Harvard,1/28/25,0,group,homecoming_pass,homecoming_pass,1,47.87
2025,San Diego,1/28/25,0,suite,single_day,single_day,0,50.33
2025,Kansas City,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,39.42
2025,Charlotte,1/28/25,0,non_internal,single_day,single_day,0,38.28
2025,Champ Series,1/28/25,2929.5714285714284,non_internal,single_day,single_day,0,31.95
2025,Boston/Harvard,1/28/25,0,non_internal,single_day,single_day,0,47.87
2025,Champ Series,1/28/25,157.28571428571428,group,all_access,all_access,0,31.95
2025,Chicago,1/28/25,0,group,homecoming_pass,homecoming_pass,0,44.7
2025,San Diego,1/28/25,0,non_internal,single_day,single_day,0,50.33
2025,Minnesota,1/28/25,0,non_internal,single_day,single_day,0,41.81
2025,Fairfield,1/28/25,0,group,homecoming_pass,homecoming_pass,1,52.81
2025,Champ Series,1/28/25,312,premium_add_on,single_day,single_day,0,31.95
2025,Champ Series,1/28/25,1855.1428571428571,group,single_day,single_day,0,31.95
2025,Charlotte,1/28/25,0,group,homecoming_pass,homecoming_pass,1,38.28
2025,Albany,1/28/25,0,group,single_day,single_day,0,34.76
2025,San Diego,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,50.33
2025,San Diego,1/28/25,0,group,homecoming_pass,homecoming_pass,0,50.33
2025,Boston/Harvard,1/28/25,0,group,homecoming_pass,homecoming_pass,0,47.87
2025,Albany,1/28/25,0,suite,single_day,single_day,0,34.76
2025,Chicago,1/28/25,0,non_internal,single_day,single_day,0,44.7
2025,Boston/Harvard,1/28/25,0,group,single_day,single_day,0,47.87
2025,Charlotte,1/28/25,0,suite,single_day,single_day,0,38.28
2025,Fairfield,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,52.81
2025,Philly/Nova,1/28/25,0,group,homecoming_pass,homecoming_pass,0,42.99
2025,Chicago,1/28/25,0,suite,single_day,single_day,0,44.7
2025,Minnesota,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,41.81
2025,San Diego,1/28/25,0,group,single_day,single_day,0,50.33
2025,Chicago,1/28/25,0,group,homecoming_pass,homecoming_pass,1,44.7
2025,Fairfield,1/28/25,0,group,single_day,single_day,0,52.81
2025,Albany,1/28/25,0,group,homecoming_pass,homecoming_pass,1,34.76
2025,Salt Lake City,1/28/25,0,group,homecoming_pass,homecoming_pass,1,54.92
2025,Minnesota,1/28/25,0,group,homecoming_pass,homecoming_pass,1,41.81
