event_name,team,event_date,event_time,season_name,plan,total_events,game_number,default_ticket_template_name,returnable,enabled,onsale_datetime,offsale_datetime,oss_onsale_datetime,oss_offsale_datetime,fror_seat_list_name,fror_min_seats,fror_max_seats,fror_assignment_type,fror_alert_text,fror_onsale_datetime,fror_offsale_datetime,plan_abv,barcode_status,barcode_event_slots,barcode_max_seats_per_row,event_line1,event_line2,event_line3,event_line4,event_line5,event_line6,event_line7,event_line8,event_line9,event_line10,inet_line1,inet_line2,inet_line3,inet_line4,inet_line5,inet_line6,inet_line7,inet_line8,inet_line9,inet_line10,auto_add_membership_name1,auto_add_membership_name2,auto_add_membership_name3,membership_reqd,pc_membership_reqd,ledger_code
250914,14. Championship,9/14/2025,12:30:00,25.14 NY Championship Suites,N,1,,,Y,Y,,,,,,,,S,,,,E,N,0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250211MG,00. Champ Series,2/11/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250212MG,00. Champ Series,2/12/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250213MG,00. Champ Series,2/13/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250214MG,00. Champ Series,2/14/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25215MGA,00. Champ Series,2/15/2025,12:30:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25215MGB,00. Champ Series,2/15/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25216MGA,00. Champ Series,2/16/2025,10:30:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,Y,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25216MGB,00. Champ Series,2/16/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,Y,,,,,,,,S,,,,E,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25CSFLEX,00. Champ Series,2/11/2025,23:59:00,25.00 Champ Series - TSJ,Y,9,,,N,N,,,12/11/2024 00:00,2/11/2025 23:59,,,,S,,,,PAP,N,1,,,,,,,,,,,,,,,,,,,,,,2025,CHAMPSERIES,HOMEPASS,N,N,GEN
250613H,03. Philadelphia,6/13/2025,18:00:00,25.03UP Philadelphia Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,32,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250212D,2025 Champ Series Suites,2/12/2025,19:00:00,25.00SD Champ Series Suite Deposits,N,1,,,Y,Y,,,,,,,,S,,,,DEP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
