event_name,market,event_date,event_time,season_name,plan,total_events,plan_abv
D250217,00. Champ Series,2/17/25,11:00:00,2025 Deposit Events,N,1,DEP
D25ALL,ALL MARKETS,5/30/25,23:59:00,2025 Deposit Events,Y,31,FS
D25ASG,06. Kansas City,7/4/25,23:59:00,2025 Deposit Events,Y,2,MP
D25ALB,01. Albany,5/30/25,23:59:00,2025 Deposit Events,Y,3,MP
D25CHA,02. Charlotte,6/6/25,23:59:00,2025 Deposit Events,Y,3,MP
D25PHI,03. Philadelphia,6/13/25,23:59:00,2025 Deposit Events,Y,3,MP
D25BAL,04. Baltimore,6/21/25,23:59:00,2025 Deposit Events,Y,2,MP
D25SD,05. San Diego,6/27/25,23:59:00,2025 Deposit Events,Y,2,MP
D25CHI,07. Chicago,7/11/25,23:59:00,2025 Deposit Events,Y,2,MP
D25FAI,08. Fairfield,7/11/25,23:59:00,2025 Deposit Events,Y,3,MP
D25SLC,09. Salt Lake City,7/25/25,23:59:00,2025 Deposit Events,Y,2,MP
D25DEN,10. Denver,8/1/25,23:59:00,2025 Deposit Events,Y,3,MP
D25BOS,11. Boston,8/1/25,23:59:00,2025 Deposit Events,Y,3,MP
250801,10. Denver,8/1/25,18:00:00,25.10 Denver Suites,N,1,E
250802A,10. Denver,8/2/25,11:00:00,25.10 Denver Suites,N,1,E
250802E,10. Denver,8/2/25,18:00:00,25.10 Denver Suites,N,1,E
250621H,04. Baltimore,6/21/25,16:00:00,25.04UP Baltimore Upsell,N,1,EXP
250622H,04. Baltimore,6/22/25,12:00:00,25.04UP Baltimore Upsell,N,1,EXP
250613H,03. Philadelphia,6/13/25,18:00:00,25.03UP Philadelphia Upsell,N,1,EXP
250614AH,03. Philadelphia,6/14/25,13:00:00,25.03UP Philadelphia Upsell,N,1,EXP
250531AH,01. Albany,5/31/25,13:00:00,25.01UP Albany Upsell,N,1,EXP
250531EH,01. Albany,5/31/25,19:00:00,25.01UP Albany Upsell,N,1,EXP
250530M,01. Albany,5/30/25,18:00:00,25.01UP Albany Upsell,N,1,EXP
250531AM,01. Albany,5/31/25,13:00:00,25.01UP Albany Upsell,N,1,EXP
250531EM,01. Albany,5/31/25,19:00:00,25.01UP Albany Upsell,N,1,EXP
250530G,01. Albany,5/30/25,18:00:00,25.01UP Albany Upsell,N,1,EXP
250531AG,01. Albany,5/31/25,13:00:00,25.01UP Albany Upsell,N,1,EXP
250531EG,01. Albany,5/31/25,19:00:00,25.01UP Albany Upsell,N,1,EXP
250530F,01. Albany,5/30/25,18:00:00,25.01UP Albany Upsell,N,1,EXP
250531AF,01. Albany,5/31/25,13:00:00,25.01UP Albany Upsell,N,1,EXP
250531EF,01. Albany,5/31/25,19:00:00,25.01UP Albany Upsell,N,1,EXP
250606H,02. Charlotte,6/6/25,18:00:00,25.02UP Charlotte Upsell,N,1,EXP
250606M,02. Charlotte,6/6/25,18:00:00,25.02UP Charlotte Upsell,N,1,EXP
